Country.Name,SDG.Region,UNICEF.Region,UNICEF.Programme.Region,Rate,Year,Deaths
76,202,209,209,35.2315,1993,9217
77,203,211,211,8.8913,1993,1042
78,206,213,214,29.0993,1993,135322
79,200,207,207,53.4628,1993,1498890
80,203,211,211,4.3809,1993,213
81,200,212,212,23.0965,1993,36534
82,204,212,212,25.3389,1993,18835
83,203,211,211,2.9481,1993,14
84,204,212,211,5.0579,1993,554
85,203,211,211,5.2925,1993,2907
86,202,209,209,17.7185,1993,1135
87,204,212,212,18.2818,1993,2644
88,206,213,211,2.3265,1993,2813
89,200,210,210,23.925,1993,8305
90,201,208,208,26.8452,1993,28008
91,200,210,210,26.1566,1993,3351
92,206,213,214,39.777,1993,16452
93,205,213,214,32.5284,1993,90
94,202,209,209,18.7248,1993,16
95,206,213,211,5.6819,1993,4070
96,204,212,212,8.8486,1993,294
97,206,213,214,44.4111,1993,8502
98,204,212,212,17.0056,1993,1617
99,201,214,213,57.8681,1993,5484
100,204,212,212,19.2075,1993,2264
101,202,209,209,10.7027,1993,41
102,200,207,207,12.4666,1993,4399
103,201,208,208,40.3317,1993,2457
104,203,211,211,10.7184,1993,532
105,203,211,211,3.4441,1993,18
106,203,211,211,11.2579,1993,324
107,204,212,212,34.6175,1993,24368
108,203,211,211,3.6808,1993,1
109,203,210,210,20.5851,1993,1412
110,201,208,208,36.6421,1993,21126
111,200,207,207,35.8624,1993,308
112,202,209,209,20.2573,1993,49481
113,205,213,214,17.3788,1993,34
114,203,210,210,14.5146,1993,438
115,201,214,213,62.2509,1993,27544
116,203,211,211,6.8261,1993,35
117,206,213,214,45.3257,1993,49478
118,203,210,210,9.5344,1993,91
119,206,213,214,29.8024,1993,1821
120,201,208,208,59.8958,1993,38301
121,201,214,213,43.2675,1993,3999
122,202,209,209,9.6686,1993,1
123,201,208,211,14.0119,1993,322
124,201,208,208,47.2853,1993,23043
125,206,213,214,6.7815,1993,3572
126,201,208,208,27.1437,1993,1547
127,201,214,213,52.2402,1993,26028
128,201,214,213,50.0731,1993,224790
129,202,209,209,21.019,1993,3214
130,205,213,214,14.4072,1993,1
131,203,211,211,4.2428,1993,827
132,203,211,211,3.4344,1993,205
133,200,207,207,52.3289,1993,41325
134,205,213,214,29.9399,1993,9
135,205,213,211,3.8219,1993,224
136,204,212,212,12.9727,1993,824
137,200,207,207,63.255,1993,323472
138,202,209,209,16.0394,1993,1066
139,202,209,209,24.8967,1993,16695
140,206,213,214,17.5649,1993,37309
141,205,213,214,17.886,1993,6
142,205,213,214,32.8839,1993,5022
143,203,211,211,10.4217,1993,5101
144,206,213,214,22.518,1993,10194
145,203,211,211,5.5056,1993,625
